ID,Language_ID,Parameter_ID,Value
1-tg,sate1243,tg,nontg
1-tg,sate1243,subgroup,sate1243
2-tg,awet1244,tg,nontg
2-tg,awet1244,subgroup,awet1244
3-tg,kama1373,tg,tg
3-tg,kama1373,subgroup,kama1373
4-tg,kari1317,tg,tg
4-tg,kari1317,subgroup,Tupi-Guarani_Subgroup_VI
5-tg,kaya1329,tg,tg
5-tg,kaya1329,subgroup,Tupi-Guarani_Subgroup_VI
6-tg,apia1248,tg,tg
6-tg,apia1248,subgroup,Tupi-Guarani_Subgroup_VI
7-tg,urue1240,tg,tg
7-tg,urue1240,subgroup,Tupi-Guarani_Subgroup_VI
8-tg,amun1246,tg,tg
8-tg,amun1246,subgroup,Tupi-Guarani_Subgroup_VI
9-tg,wira1264,tg,tg
9-tg,wira1264,subgroup,Tupi-Guarani_Subgroup_VI
10-tg,juma1249,tg,tg
10-tg,juma1249,subgroup,Tupi-Guarani_Subgroup_VI
11-tg,para1313,tg,tg
11-tg,para1313,subgroup,Tupi-Guarani_Subgroup_VI
12-tg,tenh1241,tg,tg
12-tg,tenh1241,subgroup,Tupi-Guarani_Subgroup_VI
13-tg,nhen1239,tg,tg
13-tg,nhen1239,subgroup,Tupi-Guarani_Subgroup_III
14-tg,tupi1274,tg,tg
14-tg,tupi1274,subgroup,Tupi-Guarani_Subgroup_III
15-tg,tupi1273,tg,tg
15-tg,tupi1273,subgroup,Tupi-Guarani_Subgroup_III
16-tg,coca1259,tg,tg
16-tg,coca1259,subgroup,Tupi-Guarani_Subgroup_III
17-tg,omag1248,tg,tg
17-tg,omag1248,subgroup,Tupi-Guarani_Subgroup_III
18-tg,guar1292,tg,tg
18-tg,guar1292,subgroup,Tupi-Guarani_Subgroup_II
19-tg,paus1244,tg,tg
19-tg,paus1244,subgroup,Tupi-Guarani_Subgroup_II
20-tg,jora1240,tg,tg
20-tg,jora1240,subgroup,Tupi-Guarani_Subgroup_II
21-tg,siri1273,tg,tg
21-tg,siri1273,subgroup,Tupi-Guarani_Subgroup_II
22-tg,yuqu1240,tg,tg
22-tg,yuqu1240,subgroup,Tupi-Guarani_Subgroup_II
23-tg,ache1246,tg,tg
23-tg,ache1246,subgroup,Tupi-Guarani_Subgroup_I
24-tg,xeta1241,tg,tg
24-tg,xeta1241,subgroup,Tupi-Guarani_Subgroup_I
25-tg,west2640,tg,tg
25-tg,west2640,subgroup,Tupi-Guarani_Subgroup_I
26-tg,tapi1253,tg,tg
26-tg,tapi1253,subgroup,Tupi-Guarani_Subgroup_I
27-tg,east2555,tg,tg
27-tg,east2555,subgroup,Tupi-Guarani_Subgroup_I
28-tg,mbya1239,tg,tg
28-tg,mbya1239,subgroup,Tupi-Guarani_Subgroup_I
29-tg,chir1286,tg,tg
29-tg,chir1286,subgroup,Tupi-Guarani_Subgroup_I
30-tg,para1311,tg,tg
30-tg,para1311,subgroup,Tupi-Guarani_Subgroup_I
31-tg,pait1247,tg,tg
31-tg,pait1247,subgroup,Tupi-Guarani_Subgroup_I
32-tg,kaiw1246,tg,tg
32-tg,kaiw1246,subgroup,Tupi-Guarani_Subgroup_I
33-tg,tapi1254,tg,tg
33-tg,tapi1254,subgroup,Tupi-Guarani_Subgroup_IV
34-tg,suru1261,tg,tg
34-tg,suru1261,subgroup,Tupi-Guarani_Subgroup_IV
35-tg,para1312,tg,tg
35-tg,para1312,subgroup,Tupi-Guarani_Subgroup_IV
36-tg,toca1235,tg,tg
36-tg,toca1235,subgroup,Tupi-Guarani_Subgroup_IV
37-tg,turi1247,tg,tg
37-tg,turi1247,subgroup,Tupi-Guarani_Subgroup_IV
38-tg,temb1276,tg,tg
38-tg,temb1276,subgroup,Tupi-Guarani_Subgroup_IV
39-tg,urub1250,tg,tg
39-tg,urub1250,subgroup,Tupi-Guarani_Subgroup_VIII
40-tg,avac1239,tg,tg
40-tg,avac1239,subgroup,Tupi-Guarani_Subgroup_VIII
41-tg,tacu1234,tg,tg
41-tg,tacu1234,subgroup,Tupi-Guarani_Subgroup_VIII
42-tg,guaj1256,tg,tg
42-tg,guaj1256,subgroup,Tupi-Guarani_Subgroup_VIII
43-tg,aura1243,tg,tg
43-tg,aura1243,subgroup,Tupi-Guarani_Subgroup_VIII
44-tg,waya1270,tg,tg
44-tg,waya1270,subgroup,Tupi-Guarani_Subgroup_VIII
45-tg,emer1243,tg,tg
45-tg,emer1243,subgroup,Tupi-Guarani_Subgroup_VIII
46-tg,zoee1240,tg,tg
46-tg,zoee1240,subgroup,Tupi-Guarani_Subgroup_VIII
47-tg,xing1248,tg,tg
47-tg,xing1248,subgroup,Tupi-Guarani_Subgroup_V
48-tg,araw1273,tg,tg
48-tg,araw1273,subgroup,Tupi-Guarani_Subgroup_V
49-tg,aman1266,tg,tg
49-tg,aman1266,subgroup,Tupi-Guarani_Subgroup_V
50-tg,anam1249,tg,tg
50-tg,anam1249,subgroup,Tupi-Guarani_Subgroup_V
